-0.55	0.18	0.77
-0.54	0.18	0.78
-0.54	0.19	0.78
-0.54	0.19	0.78
-0.54	0.18	0.78
-0.54	0.18	0.78
-0.54	0.18	0.78
-0.54	0.17	0.78
-0.54	0.18	0.78
-0.54	0.18	0.78
-0.54	0.17	0.78
-0.55	0.18	0.78
-0.54	0.17	0.79
-0.54	0.17	0.78
-0.54	0.17	0.78
-0.54	0.17	0.77
-0.54	0.17	0.78
-0.55	0.17	0.78
-0.54	0.17	0.79
-0.54	0.18	0.78
-0.54	0.17	0.79
-0.53	0.18	0.81
-0.53	0.18	0.81
-0.52	0.19	0.81
-0.52	0.19	0.81
-0.52	0.18	0.81
-0.53	0.17	0.80
-0.54	0.18	0.79
-0.54	0.18	0.79
-0.54	0.17	0.79
-0.53	0.17	0.79
-0.54	0.16	0.79
-0.53	0.17	0.79
-0.53	0.18	0.79
-0.53	0.17	0.79
-0.53	0.17	0.80
-0.52	0.17	0.80
-0.53	0.18	0.80
-0.53	0.18	0.80
-0.52	0.18	0.80
-0.53	0.17	0.79
-0.53	0.16	0.79
-0.52	0.17	0.79
-0.53	0.17	0.79
-0.53	0.17	0.79
-0.53	0.16	0.79
-0.53	0.16	0.80
-0.53	0.16	0.79
-0.53	0.16	0.79
-0.53	0.16	0.79
-0.53	0.16	0.79
-0.53	0.16	0.79
-0.52	0.16	0.80
-0.53	0.16	0.80
-0.52	0.17	0.80
-0.52	0.17	0.81
-0.51	0.17	0.80
-0.51	0.16	0.80
-0.51	0.16	0.80
-0.48	0.15	0.75
-0.51	0.13	0.79
-0.54	0.14	0.83
-0.52	0.16	0.79
-0.55	0.16	0.83
-0.54	0.16	0.81
-0.52	0.15	0.82
-0.52	0.15	0.82
-0.52	0.14	0.81
-0.51	0.14	0.81
-0.52	0.15	0.81
-0.52	0.15	0.82
-0.51	0.15	0.82
-0.51	0.15	0.83
-0.50	0.15	0.83
-0.51	0.15	0.82
-0.51	0.14	0.82
-0.51	0.14	0.82
-0.52	0.15	0.82
-0.52	0.14	0.82
-0.53	0.14	0.83
-0.52	0.14	0.83
-0.51	0.14	0.83
-0.51	0.12	0.83
-0.51	0.15	0.82
-0.52	0.16	0.83
-0.51	0.14	0.83
-0.52	0.14	0.82
-0.52	0.14	0.82
-0.52	0.13	0.83
-0.52	0.13	0.83
-0.51	0.13	0.83
-0.52	0.13	0.83
-0.52	0.12	0.84
-0.53	0.13	0.84
-0.53	0.13	0.85
-0.54	0.14	0.85
-0.54	0.15	0.85
-0.54	0.15	0.86
-0.53	0.16	0.86
-0.53	0.17	0.87
-0.52	0.18	0.88
-0.52	0.18	0.89
-0.51	0.18	0.89
-0.51	0.18	0.91
-0.51	0.18	0.92
-0.52	0.18	0.93
-0.54	0.18	0.95
-0.56	0.20	0.97
-0.57	0.25	0.98
-0.57	0.28	0.99
-0.56	0.31	1.00
-0.54	0.32	1.00
-0.50	0.33	1.00
-0.47	0.33	1.00
-0.45	0.32	0.99
-0.45	0.31	0.98
-0.44	0.29	0.96
-0.44	0.28	0.93
-0.46	0.26	0.92
-0.48	0.24	0.89
-0.50	0.22	0.88
-0.52	0.21	0.86
-0.51	0.20	0.85
-0.52	0.21	0.85
-0.49	0.20	0.83
-0.47	0.20	0.83
-0.44	0.19	0.82
-0.42	0.18	0.80
-0.42	0.17	0.79
-0.41	0.16	0.78
-0.42	0.16	0.78
-0.41	0.15	0.78
-0.42	0.16	0.78
-0.40	0.16	0.80
-0.39	0.18	0.80
-0.39	0.19	0.81
-0.38	0.18	0.81
-0.37	0.19	0.81
-0.36	0.19	0.81
-0.36	0.19	0.81
-0.35	0.19	0.82
-0.36	0.20	0.83
-0.34	0.20	0.85
-0.32	0.22	0.87
-0.31	0.24	0.89
-0.28	0.25	0.90
-0.24	0.23	0.87
-0.25	0.23	0.90
-0.23	0.23	0.90
-0.24	0.26	0.92
-0.23	0.27	0.94
-0.22	0.28	0.97
-0.20	0.27	1.01
-0.18	0.27	1.04
-0.15	0.27	1.06
-0.11	0.29	1.10
-0.09	0.32	1.11
-0.07	0.35	1.11
-0.04	0.37	1.13
-0.00	0.37	1.17
-0.01	0.36	1.16
0.04	0.37	1.16
0.10	0.36	1.14
0.11	0.33	1.12
0.10	0.31	1.11
0.11	0.30	1.10
0.12	0.29	1.11
0.11	0.28	1.11
